2013-10-28 20:20:43.120510|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.6.1 (2012-06-29 07:59:05)
2013-10-28 20:20:43.120761|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2013-10-28 20:20:43.120786|INFO    |DatabaseQuery |   | dbPlugin version: 3.7.3
2013-10-28 20:20:43.120961|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2013-10-28 20:20:43.679988|INFO    |Accounting    |   | Licensing Information
2013-10-28 20:20:43.680044|INFO    |Accounting    |   | type              : Non-profit
2013-10-28 20:20:43.680082|INFO    |Accounting    |   | starting date     : Tue Jun  4 00:00:00 2013
2013-10-28 20:20:43.680098|INFO    |Accounting    |   | ending date       : Tue Dec 17 00:00:00 2013
2013-10-28 20:20:43.680113|INFO    |Accounting    |   | max virtualservers: 10
2013-10-28 20:20:43.680125|INFO    |Accounting    |   | max slots         : 512
2013-10-28 20:20:43.698172|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2013-10-28 20:20:43.884426|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2013-10-28 20:20:43.884798|INFO    |Query         |   | listening on 0.0.0.0:10011
2013-10-28 20:20:44.250564|ERROR   |Accounting    |   | too many slots hosted, shutting down!
2013-10-28 20:34:08.876526|INFO    |ServerMain    |   | Received signal SIGTERM, shutting down.
