2013-10-28 19:56:09.267394|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.6.1 (2012-06-29 07:59:05)
2013-10-28 19:56:09.267653|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2013-10-28 19:56:09.267679|INFO    |DatabaseQuery |   | dbPlugin version: 3.7.3
2013-10-28 19:56:09.267878|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2013-10-28 19:56:09.726005|INFO    |Accounting    |   | Licensing Information
2013-10-28 19:56:09.726054|INFO    |Accounting    |   | type              : Non-profit
2013-10-28 19:56:09.726773|INFO    |Accounting    |   | starting date     : Tue Jun  4 00:00:00 2013
2013-10-28 19:56:09.726801|INFO    |Accounting    |   | ending date       : Tue Dec 17 00:00:00 2013
2013-10-28 19:56:09.726820|INFO    |Accounting    |   | max virtualservers: 10
2013-10-28 19:56:09.726833|INFO    |Accounting    |   | max slots         : 512
2013-10-28 19:56:09.762204|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2013-10-28 19:56:10.208300|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2013-10-28 19:56:10.208586|INFO    |Query         |   | listening on 0.0.0.0:10011
2013-10-28 19:56:10.492881|ERROR   |Accounting    |   | too many slots hosted, shutting down!
2013-10-28 20:01:42.257973|INFO    |ServerMain    |   | Received signal SIGTERM, shutting down.
