2013-10-30 15:30:27.296689|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.6.1 (2012-06-29 07:59:05)
2013-10-30 15:30:27.417640|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2013-10-30 15:30:27.419272|INFO    |DatabaseQuery |   | dbPlugin version: 3.7.3
2013-10-30 15:30:27.421212|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2013-10-30 15:30:28.050397|INFO    |Accounting    |   | Licensing Information
2013-10-30 15:30:28.050442|INFO    |Accounting    |   | type              : Non-profit
2013-10-30 15:30:28.050479|INFO    |Accounting    |   | starting date     : Tue Jun  4 00:00:00 2013
2013-10-30 15:30:28.050496|INFO    |Accounting    |   | ending date       : Tue Dec 17 00:00:00 2013
2013-10-30 15:30:28.050510|INFO    |Accounting    |   | max virtualservers: 10
2013-10-30 15:30:28.050523|INFO    |Accounting    |   | max slots         : 512
2013-10-30 15:30:28.194233|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2013-10-30 15:30:28.447922|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2013-10-30 15:30:28.448342|INFO    |Query         |   | listening on 0.0.0.0:10011
2013-10-30 15:30:28.741929|ERROR   |Accounting    |   | too many slots hosted, shutting down!
2013-10-30 15:35:05.726157|INFO    |ServerMain    |   | Received signal SIGTERM, shutting down.
