2013-10-26 12:39:06.453199|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2013-10-26 12:39:12.329892|INFO    |VirtualServer |  1| client connected 'Husqvarna1'(id:2) from 83.22.67.175:55102
2013-10-26 12:43:25.688172|INFO    |VirtualServer |  1| client connected '&#729;&#903;&#1632;&#8226;&#9679;MaQu&#9679;&#8226;&#1632;&#903;&#729;'(id:2457) from 46.186.43.187:3800
2013-10-26 12:43:36.606646|INFO    |VirtualServer |  1| query client connected 'Unknown from 62.75.222.14:47200'(id:11)
2013-10-26 12:43:36.998905|INFO    |VirtualServer |  1| query client disconnected 'Unknown from 62.75.222.14:47200'(id:11) reason 'reasonmsg=disconnecting'
2013-10-26 12:44:20.950912|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:56103'(id:11)
2013-10-26 12:44:21.363498|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:11) reason 'reasonmsg=connection lost'
2013-10-26 12:47:20.871017|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:58362'(id:11)
2013-10-26 12:47:21.239324|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:11) reason 'reasonmsg=connection lost'
2013-10-26 12:50:20.932318|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:37551'(id:11)
2013-10-26 12:50:21.302714|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:11) reason 'reasonmsg=connection lost'
2013-10-26 12:53:50.782844|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:41529'(id:11)
2013-10-26 12:53:51.167258|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:11) reason 'reasonmsg=connection lost'
2013-10-26 12:55:38.336878|INFO    |VirtualServer |  1| query client connected 'Unknown from 62.75.222.14:44126'(id:11)
2013-10-26 12:55:38.720786|INFO    |VirtualServer |  1| query client disconnected 'Unknown from 62.75.222.14:44126'(id:11) reason 'reasonmsg=disconnecting'
2013-10-26 12:57:20.705104|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:51776'(id:11)
