2013-10-29 07:17:38.955668|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.6.1 (2012-06-29 07:59:05)
2013-10-29 07:17:39.036156|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2013-10-29 07:17:39.037642|INFO    |DatabaseQuery |   | dbPlugin version: 3.7.3
2013-10-29 07:17:39.042169|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2013-10-29 07:17:39.913798|INFO    |Accounting    |   | Licensing Information
2013-10-29 07:17:39.913852|INFO    |Accounting    |   | type              : Non-profit
2013-10-29 07:17:39.913889|INFO    |Accounting    |   | starting date     : Tue Jun  4 00:00:00 2013
2013-10-29 07:17:39.913906|INFO    |Accounting    |   | ending date       : Tue Dec 17 00:00:00 2013
2013-10-29 07:17:39.913921|INFO    |Accounting    |   | max virtualservers: 10
2013-10-29 07:17:39.913933|INFO    |Accounting    |   | max slots         : 512
2013-10-29 07:17:40.047304|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2013-10-29 07:17:40.349652|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2013-10-29 07:17:40.349988|INFO    |Query         |   | listening on 0.0.0.0:10011
2013-10-29 07:17:40.696843|ERROR   |Accounting    |   | too many slots hosted, shutting down!
2013-10-29 07:20:42.016846|INFO    |ServerMain    |   | Received signal SIGTERM, shutting down.
