2013-10-28 20:01:46.506882|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.6.1 (2012-06-29 07:59:05)
2013-10-28 20:01:46.507162|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2013-10-28 20:01:46.507187|INFO    |DatabaseQuery |   | dbPlugin version: 3.7.3
2013-10-28 20:01:46.507411|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2013-10-28 20:01:46.979453|INFO    |Accounting    |   | Licensing Information
2013-10-28 20:01:46.979503|INFO    |Accounting    |   | type              : Non-profit
2013-10-28 20:01:46.979542|INFO    |Accounting    |   | starting date     : Tue Jun  4 00:00:00 2013
2013-10-28 20:01:46.979559|INFO    |Accounting    |   | ending date       : Tue Dec 17 00:00:00 2013
2013-10-28 20:01:46.979574|INFO    |Accounting    |   | max virtualservers: 10
2013-10-28 20:01:46.979587|INFO    |Accounting    |   | max slots         : 512
2013-10-28 20:01:46.996950|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2013-10-28 20:01:47.164795|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2013-10-28 20:01:47.165173|INFO    |Query         |   | listening on 0.0.0.0:10011
2013-10-28 20:01:47.539434|ERROR   |Accounting    |   | too many slots hosted, shutting down!
2013-10-28 20:08:16.218302|INFO    |ServerMain    |   | Received signal SIGTERM, shutting down.
