2013-10-25 18:45:33.881969|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.6.1 (2012-06-29 07:59:05)
2013-10-25 18:45:33.882215|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2013-10-25 18:45:33.882239|INFO    |DatabaseQuery |   | dbPlugin version: 3.7.3
2013-10-25 18:45:33.882417|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2013-10-25 18:45:34.345386|INFO    |Accounting    |   | Licensing Information
2013-10-25 18:45:34.345430|INFO    |Accounting    |   | type              : Non-profit
2013-10-25 18:45:34.345467|INFO    |Accounting    |   | starting date     : Tue Jun  4 00:00:00 2013
2013-10-25 18:45:34.345484|INFO    |Accounting    |   | ending date       : Tue Dec 17 00:00:00 2013
2013-10-25 18:45:34.345498|INFO    |Accounting    |   | max virtualservers: 10
2013-10-25 18:45:34.345511|INFO    |Accounting    |   | max slots         : 512
2013-10-25 18:45:34.361715|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2013-10-25 18:45:34.482862|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2013-10-25 18:45:34.483150|INFO    |Query         |   | listening on 0.0.0.0:10011
2013-10-26 12:32:04.879322|WARNING |PktHandler    |   | detected incorrectly running system clock (>)
2013-10-26 12:37:19.292733|INFO    |ServerMain    |   | Received signal SIGTERM, shutting down.
