2013-10-28 20:08:54.315737|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.6.1 (2012-06-29 07:59:05)
2013-10-28 20:08:54.316002|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2013-10-28 20:08:54.316027|INFO    |DatabaseQuery |   | dbPlugin version: 3.7.3
2013-10-28 20:08:54.316321|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2013-10-28 20:08:54.751991|INFO    |Accounting    |   | Licensing Information
2013-10-28 20:08:54.752038|INFO    |Accounting    |   | type              : Non-profit
2013-10-28 20:08:54.752077|INFO    |Accounting    |   | starting date     : Tue Jun  4 00:00:00 2013
2013-10-28 20:08:54.752094|INFO    |Accounting    |   | ending date       : Tue Dec 17 00:00:00 2013
2013-10-28 20:08:54.752109|INFO    |Accounting    |   | max virtualservers: 10
2013-10-28 20:08:54.752123|INFO    |Accounting    |   | max slots         : 512
2013-10-28 20:08:54.771114|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2013-10-28 20:08:54.910696|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2013-10-28 20:08:54.910979|INFO    |Query         |   | listening on 0.0.0.0:10011
2013-10-28 20:08:55.208683|ERROR   |Accounting    |   | too many slots hosted, shutting down!
2013-10-28 20:11:00.739475|INFO    |ServerMain    |   | Received signal SIGHUP, shutting down.
