2013-10-26 18:29:52.820603|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.6.1 (2012-06-29 07:59:05)
2013-10-26 18:29:52.820841|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2013-10-26 18:29:52.820866|INFO    |DatabaseQuery |   | dbPlugin version: 3.7.3
2013-10-26 18:29:52.821055|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2013-10-26 18:29:53.305512|INFO    |Accounting    |   | Licensing Information
2013-10-26 18:29:53.305564|INFO    |Accounting    |   | type              : Non-profit
2013-10-26 18:29:53.305606|INFO    |Accounting    |   | starting date     : Tue Jun  4 00:00:00 2013
2013-10-26 18:29:53.305626|INFO    |Accounting    |   | ending date       : Tue Dec 17 00:00:00 2013
2013-10-26 18:29:53.305641|INFO    |Accounting    |   | max virtualservers: 10
2013-10-26 18:29:53.305688|INFO    |Accounting    |   | max slots         : 512
2013-10-26 18:29:53.324665|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2013-10-26 18:29:53.475759|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2013-10-26 18:29:53.476077|INFO    |Query         |   | listening on 0.0.0.0:10011
2013-10-26 18:55:54.517709|INFO    |ServerMain    |   | Received signal SIGTERM, shutting down.
