2013-10-26 12:39:03.532558|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.6.1 (2012-06-29 07:59:05)
2013-10-26 12:39:04.078697|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2013-10-26 12:39:04.078757|INFO    |DatabaseQuery |   | dbPlugin version: 3.7.3
2013-10-26 12:39:04.158056|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2013-10-26 12:39:05.485328|INFO    |Accounting    |   | Licensing Information
2013-10-26 12:39:05.485390|INFO    |Accounting    |   | type              : Non-profit
2013-10-26 12:39:05.485430|INFO    |Accounting    |   | starting date     : Tue Jun  4 00:00:00 2013
2013-10-26 12:39:05.485447|INFO    |Accounting    |   | ending date       : Tue Dec 17 00:00:00 2013
2013-10-26 12:39:05.485462|INFO    |Accounting    |   | max virtualservers: 10
2013-10-26 12:39:05.485476|INFO    |Accounting    |   | max slots         : 512
2013-10-26 12:39:05.774575|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2013-10-26 12:39:06.453453|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2013-10-26 12:39:06.453729|INFO    |Query         |   | listening on 0.0.0.0:10011
2013-10-26 15:08:36.509687|INFO    |ServerMain    |   | Received signal SIGTERM, shutting down.
